# GT/MT combo	# dups	# losses	Total score	Maps
GT-557 to MT-0	2	8	10	((ISCAP-6945-002fa1_ISCAP[ISCAP+-0],MOCCI-34638-003c3a_MOCCI[MOCCI+-0])<1>[<5>+-0],((TURTI-32264-003e35_TURTI[TURTI+-0],CSCUL-CSCUL-0032b9_CSCUL[CSCUL+-0])<2>[<7>+-0],(SMIMO-407821-00296e_SMIMO[SMIMO+-0],PTEPI-PTEPI-001e18_PTEPI[PTEPI+-0])<3>[<2>+-0])<4>[<7>+-1])<5>[<7>+-1]
GT-558 to MT-0	2	4	6	((ISCAP-6945-00308d_ISCAP[ISCAP+-0],(MOCCI-34638-004881_MOCCI[MOCCI+-0],TURTI-32264-001c75_TURTI[TURTI+-0])<1>[<6>+-0])<2>[<6>+-1],(((LRECL-LRECL-00108e_LRECL[LRECL+-0],((LHESP-LHESP-001876_LHESP[LHESP+-0],PTEPI-PTEPI-003424_PTEPI[PTEPI+-0])<3>[<1>+-0],SMIMO-407821-000a4d_SMIMO[SMIMO+-0])<4>[<2>+-0])<5>[<3>+-0],CSCUL-CSCUL-001a4a_CSCUL[CSCUL+-0])<6>[<4>+-0],((LRECL-LRECL-000f77_LRECL[LRECL+-0],(SMIMO-407821-00619d_SMIMO[SMIMO+-0],PTEPI-PTEPI-0047a1_PTEPI[PTEPI+-0])<7>[<2>+-0])<8>[<3>+-0],CSCUL-CSCUL-0007ef_CSCUL[CSCUL+-0])<9>[<4>+-0])<10>[<4>+-1])<11>[<7>+-0]
GT-559 to MT-0	6	7	13	((((TURTI-32264-004626_TURTI[TURTI+-0],TURTI-32264-003d52_TURTI[TURTI+-0])<1>[TURTI+-1],(TURTI-32264-001f9a_TURTI[TURTI+-0],(TURTI-32264-000985_TURTI[TURTI+-0],TURTI-32264-001ad7_TURTI[TURTI+-0])<2>[TURTI+-1])<3>[TURTI+-1])<4>[TURTI+-1],LRECL-LRECL-003562_LRECL[LRECL+-0])<5>[<7>+-0],(CSCUL-CSCUL-004e06_CSCUL[CSCUL+-0],((PTEPI-PTEPI-00259b_PTEPI[PTEPI+-0],(SMIMO-407821-003692_SMIMO[SMIMO+-0],LHESP-LHESP-00015b_LHESP[LHESP+-0])<6>[<2>+-0])<7>[<2>+-1],LRECL-LRECL-003c6c_LRECL[LRECL+-0])<8>[<3>+-0])<9>[<4>+-0])<10>[<7>+-1]
GT-560 to MT-0	3	7	10	(TURTI-32264-003c59_TURTI[TURTI+-0],(CSCUL-CSCUL-00056a_CSCUL[CSCUL+-0],(ISCAP-6945-00121e_ISCAP[ISCAP+-0],(CSCUL-CSCUL-005349_CSCUL[CSCUL+-0],(LRECL-LRECL-00370b_LRECL[LRECL+-0],((PTEPI-PTEPI-005f44_PTEPI[PTEPI+-0],PTEPI-PTEPI-002823_PTEPI[PTEPI+-0])<1>[PTEPI+-1],SMIMO-407821-005053_SMIMO[SMIMO+-0])<2>[<2>+-0])<3>[<3>+-0])<4>[<4>+-0])<5>[<7>+-0])<6>[<7>+-1])<7>[<7>+-1]
GT-562 to MT-0	1	11	12	(PTEPI-PTEPI-00525a_PTEPI[PTEPI+-0],(ISCAP-6945-004ff6_ISCAP[ISCAP+-0],LHESP-LHESP-000082_LHESP[LHESP+-0])<1>[<7>+-0])<2>[<7>+-1]
GT-563 to MT-0	4	10	14	(CSCUL-CSCUL-000884_CSCUL[CSCUL+-0],((CSCUL-CSCUL-000881_CSCUL[CSCUL+-0],(ISCAP-6945-001545_ISCAP[ISCAP+-0],TURTI-32264-001749_TURTI[TURTI+-0])<1>[<6>+-0])<2>[<7>+-0],(LRECL-LRECL-004ac7_LRECL[LRECL+-0],(LRECL-LRECL-002cf0_LRECL[LRECL+-0],((PTEPI-PTEPI-002e8c_PTEPI[PTEPI+-0],SMIMO-407821-0066cb_SMIMO[SMIMO+-0])<3>[<2>+-0],PTEPI-PTEPI-002e8b_PTEPI[PTEPI+-0])<4>[<2>+-1])<5>[<3>+-0])<6>[<3>+-1])<7>[<7>+-1])<8>[<7>+-1]
GT-564 to MT-0	2	5	7	(((LRECL-LRECL-0027ee_LRECL[LRECL+-0],(SMIMO-407821-00249f_SMIMO[SMIMO+-0],(PTEPI-PTEPI-0057eb_PTEPI[PTEPI+-0],LHESP-LHESP-0013ea_LHESP[LHESP+-0])<1>[<1>+-0])<2>[<2>+-0])<3>[<3>+-0],(ISCAP-6945-002467_ISCAP[ISCAP+-0],ISCAP-6945-0031ce_ISCAP[ISCAP+-0])<4>[ISCAP+-1])<5>[<7>+-0],CSCUL-CSCUL-000212_CSCUL[CSCUL+-0])<6>[<7>+-1]
GT-565 to MT-0	1	5	6	((TURTI-32264-00304d_TURTI[TURTI+-0],MOCCI-34638-0016da_MOCCI[MOCCI+-0])<1>[<6>+-0],(ISCAP-6945-001441_ISCAP[ISCAP+-0],(CSCUL-CSCUL-002e4b_CSCUL[CSCUL+-0],(SMIMO-407821-005b0c_SMIMO[SMIMO+-0],(LHESP-LHESP-000fb2_LHESP[LHESP+-0],PTEPI-PTEPI-005090_PTEPI[PTEPI+-0])<2>[<1>+-0])<3>[<2>+-0])<4>[<4>+-0])<5>[<7>+-0])<6>[<7>+-1]
GT-567 to MT-0	4	7	11	((MOCCI-34638-0021e0_MOCCI[MOCCI+-0],ISCAP-6945-0029a1_ISCAP[ISCAP+-0])<1>[<5>+-0],(CSCUL-CSCUL-00243d_CSCUL[CSCUL+-0],(LRECL-LRECL-00304c_LRECL[LRECL+-0],((TURTI-32264-0011d9_TURTI[TURTI+-0],TURTI-32264-0011da_TURTI[TURTI+-0])<2>[TURTI+-1],TURTI-32264-002fdf_TURTI[TURTI+-0])<3>[TURTI+-1])<4>[<7>+-0])<5>[<7>+-1])<6>[<7>+-1]
GT-568 to MT-0	2	1	3	((CSCUL-CSCUL-006cd0_CSCUL[CSCUL+-0],((LRECL-LRECL-003dee_LRECL[LRECL+-0],LRECL-LRECL-000739_LRECL[LRECL+-0])<1>[LRECL+-1],(SMIMO-407821-0055c6_SMIMO[SMIMO+-0],(PTEPI-PTEPI-001f7b_PTEPI[PTEPI+-0],LHESP-LHESP-00125c_LHESP[LHESP+-0])<2>[<1>+-0])<3>[<2>+-0])<4>[<3>+-0])<5>[<4>+-0],(ISCAP-6945-003f62_ISCAP[ISCAP+-0],(MOCCI-34638-00404d_MOCCI[MOCCI+-0],MOCCI-34638-001746_MOCCI[MOCCI+-0])<6>[MOCCI+-1])<7>[<5>+-0])<8>[<7>+-0]
GT-569 to MT-0	1	5	6	(CSCUL-CSCUL-0074a3_CSCUL[CSCUL+-0],(MOCCI-34638-00170c_MOCCI[MOCCI+-0],CSCUL-CSCUL-00047a_CSCUL[CSCUL+-0])<1>[<7>+-0])<2>[<7>+-1]
GT-570 to MT-0	5	19	24	(TURTI-32264-0007b3_TURTI[TURTI+-0],(CSCUL-CSCUL-004020_CSCUL[CSCUL+-0],(ISCAP-6945-000ea3_ISCAP[ISCAP+-0],(LRECL-LRECL-0013ee_LRECL[LRECL+-0],((MOCCI-34638-00258b_MOCCI[MOCCI+-0],(LHESP-LHESP-002b2f_LHESP[LHESP+-0],PTEPI-PTEPI-003c35_PTEPI[PTEPI+-0])<1>[<1>+-0])<2>[<7>+-0],(SMIMO-407821-00450f_SMIMO[SMIMO+-0],PTEPI-PTEPI-0000e8_PTEPI[PTEPI+-0])<3>[<2>+-0])<4>[<7>+-1])<5>[<7>+-1])<6>[<7>+-1])<7>[<7>+-1])<8>[<7>+-1]
GT-571 to MT-0	5	7	12	(CSCUL-CSCUL-0030a9_CSCUL[CSCUL+-0],(CSCUL-CSCUL-0030a8_CSCUL[CSCUL+-0],(TURTI-32264-001ee1_TURTI[TURTI+-0],((ISCAP-6945-000150_ISCAP[ISCAP+-0],MOCCI-34638-000d44_MOCCI[MOCCI+-0])<1>[<5>+-0],(CSCUL-CSCUL-0030a7_CSCUL[CSCUL+-0],((LRECL-LRECL-003c26_LRECL[LRECL+-0],(LRECL-LRECL-003c2b_LRECL[LRECL+-0],LRECL-LRECL-003c25_LRECL[LRECL+-0])<2>[LRECL+-1])<3>[LRECL+-1],((LHESP-LHESP-00310d_LHESP[LHESP+-0],PTEPI-PTEPI-003ca1_PTEPI[PTEPI+-0])<4>[<1>+-0],SMIMO-407821-0029ba_SMIMO[SMIMO+-0])<5>[<2>+-0])<6>[<3>+-0])<7>[<4>+-0])<8>[<7>+-0])<9>[<7>+-1])<10>[<7>+-1])<11>[<7>+-1]
GT-572 to MT-0	4	7	11	((MOCCI-34638-000054_MOCCI[MOCCI+-0],(MOCCI-34638-000abb_MOCCI[MOCCI+-0],MOCCI-34638-000053_MOCCI[MOCCI+-0])<1>[MOCCI+-1])<2>[MOCCI+-1],((TURTI-32264-00371a_TURTI[TURTI+-0],(CSCUL-CSCUL-002997_CSCUL[CSCUL+-0],(SMIMO-407821-0045ce_SMIMO[SMIMO+-0],(LHESP-LHESP-00293b_LHESP[LHESP+-0],PTEPI-PTEPI-002c1b_PTEPI[PTEPI+-0])<3>[<1>+-0])<4>[<2>+-0])<5>[<4>+-0])<6>[<7>+-0],(CSCUL-CSCUL-005830_CSCUL[CSCUL+-0],((LHESP-LHESP-003948_LHESP[LHESP+-0],PTEPI-PTEPI-00217f_PTEPI[PTEPI+-0])<7>[<1>+-0],SMIMO-407821-00056a_SMIMO[SMIMO+-0])<8>[<2>+-0])<9>[<4>+-0])<10>[<7>+-1])<11>[<7>+-1]
GT-573 to MT-0	3	15	18	(((((LHESP-LHESP-0030c9_LHESP[LHESP+-0],SMIMO-407821-000c6f_SMIMO[SMIMO+-0])<1>[<2>+-0],LRECL-LRECL-004f39_LRECL[LRECL+-0])<2>[<3>+-0],CSCUL-CSCUL-001dd9_CSCUL[CSCUL+-0])<3>[<4>+-0],((ISCAP-6945-004c0a_ISCAP[ISCAP+-0],LHESP-LHESP-002d91_LHESP[LHESP+-0])<4>[<7>+-0],PTEPI-PTEPI-003e18_PTEPI[PTEPI+-0])<5>[<7>+-1])<6>[<7>+-1],(MOCCI-34638-003413_MOCCI[MOCCI+-0],TURTI-32264-000142_TURTI[TURTI+-0])<7>[<6>+-0])<8>[<7>+-1]
GT-574 to MT-0	16	14	30	((((CSCUL-CSCUL-000fd3_CSCUL[CSCUL+-0],(CSCUL-CSCUL-000fd2_CSCUL[CSCUL+-0],(LHESP-LHESP-0004a5_LHESP[LHESP+-0],PTEPI-PTEPI-00261f_PTEPI[PTEPI+-0])<1>[<1>+-0])<2>[<4>+-0])<3>[<4>+-1],(MOCCI-34638-003e6a_MOCCI[MOCCI+-0],((MOCCI-34638-000a70_MOCCI[MOCCI+-0],(MOCCI-34638-000a6f_MOCCI[MOCCI+-0],MOCCI-34638-000a6e_MOCCI[MOCCI+-0])<4>[MOCCI+-1])<5>[MOCCI+-1],(MOCCI-34638-0003f7_MOCCI[MOCCI+-0],(MOCCI-34638-0003ed_MOCCI[MOCCI+-0],MOCCI-34638-0003f8_MOCCI[MOCCI+-0])<6>[MOCCI+-1])<7>[MOCCI+-1])<8>[MOCCI+-1])<9>[MOCCI+-1])<10>[<7>+-0],((PTEPI-PTEPI-006dd1_PTEPI[PTEPI+-0],CSCUL-CSCUL-001403_CSCUL[CSCUL+-0])<11>[<4>+-0],(SMIMO-407821-001c00_SMIMO[SMIMO+-0],((PTEPI-PTEPI-00703b_PTEPI[PTEPI+-0],(PTEPI-PTEPI-00703c_PTEPI[PTEPI+-0],PTEPI-PTEPI-002e60_PTEPI[PTEPI+-0])<12>[PTEPI+-1])<13>[PTEPI+-1],PTEPI-PTEPI-0038c9_PTEPI[PTEPI+-0])<14>[PTEPI+-1])<15>[<2>+-0])<16>[<4>+-1])<17>[<7>+-1],(ISCAP-6945-000f7c_ISCAP[ISCAP+-0],((TURTI-32264-002060_TURTI[TURTI+-0],(TURTI-32264-002065_TURTI[TURTI+-0],TURTI-32264-003ab1_TURTI[TURTI+-0])<18>[TURTI+-1])<19>[TURTI+-1],TURTI-32264-0023c0_TURTI[TURTI+-0])<20>[TURTI+-1])<21>[<6>+-0])<22>[<7>+-1]
GT-575 to MT-0	1	4	5	(((CSCUL-CSCUL-000aeb_CSCUL[CSCUL+-0],(SMIMO-407821-006184_SMIMO[SMIMO+-0],(LHESP-LHESP-000f04_LHESP[LHESP+-0],PTEPI-PTEPI-006567_PTEPI[PTEPI+-0])<1>[<1>+-0])<2>[<2>+-0])<3>[<4>+-0],(ISCAP-6945-00206e_ISCAP[ISCAP+-0],MOCCI-34638-003bb7_MOCCI[MOCCI+-0])<4>[<5>+-0])<5>[<7>+-0],TURTI-32264-0027bf_TURTI[TURTI+-0])<6>[<7>+-1]
GT-576 to MT-0	1	1	2	(TURTI-32264-002210_TURTI[TURTI+-0],(MOCCI-34638-00042b_MOCCI[MOCCI+-0],(ISCAP-6945-004daa_ISCAP[ISCAP+-0],ISCAP-6945-0017a2_ISCAP[ISCAP+-0])<1>[ISCAP+-1])<2>[<5>+-0])<3>[<6>+-0]
GT-577 to MT-0	3	9	12	(((SMIMO-407821-002a3e_SMIMO[SMIMO+-0],PTEPI-PTEPI-004584_PTEPI[PTEPI+-0])<1>[<2>+-0],((((PTEPI-PTEPI-001b39_PTEPI[PTEPI+-0],LHESP-LHESP-002e62_LHESP[LHESP+-0])<2>[<1>+-0],SMIMO-407821-001dd8_SMIMO[SMIMO+-0])<3>[<2>+-0],(CSCUL-CSCUL-00087a_CSCUL[CSCUL+-0],CSCUL-CSCUL-0001c7_CSCUL[CSCUL+-0])<4>[CSCUL+-1])<5>[<4>+-0],(ISCAP-6945-0010fa_ISCAP[ISCAP+-0],TURTI-32264-0007f0_TURTI[TURTI+-0])<6>[<6>+-0])<7>[<7>+-0])<8>[<7>+-1],MOCCI-34638-00230f_MOCCI[MOCCI+-0])<9>[<7>+-1]
GT-578 to MT-0	3	9	12	((PTEPI-PTEPI-005fa9_PTEPI[PTEPI+-0],PTEPI-PTEPI-003482_PTEPI[PTEPI+-0])<1>[PTEPI+-1],(TURTI-32264-004374_TURTI[TURTI+-0],(ISCAP-6945-003779_ISCAP[ISCAP+-0],(CSCUL-CSCUL-004969_CSCUL[CSCUL+-0],(((LHESP-LHESP-0040fe_LHESP[LHESP+-0],PTEPI-PTEPI-00146b_PTEPI[PTEPI+-0])<2>[<1>+-0],SMIMO-407821-003d8f_SMIMO[SMIMO+-0])<3>[<2>+-0],LRECL-LRECL-000c54_LRECL[LRECL+-0])<4>[<3>+-0])<5>[<4>+-0])<6>[<7>+-0])<7>[<7>+-1])<8>[<7>+-1]
GT-579 to MT-0	2	8	10	(ISCAP-6945-004b8e_ISCAP[ISCAP+-0],(MOCCI-34638-000639_MOCCI[MOCCI+-0],(CSCUL-CSCUL-0024d2_CSCUL[CSCUL+-0],TURTI-32264-0009d6_TURTI[TURTI+-0])<1>[<7>+-0])<2>[<7>+-1])<3>[<7>+-1]
GT-580 to MT-0	5	9	14	((ISCAP-6945-001729_ISCAP[ISCAP+-0],(MOCCI-34638-0013bb_MOCCI[MOCCI+-0],MOCCI-34638-002cbb_MOCCI[MOCCI+-0])<1>[MOCCI+-1])<2>[<5>+-0],((CSCUL-CSCUL-002433_CSCUL[CSCUL+-0],TURTI-32264-001b49_TURTI[TURTI+-0])<3>[<7>+-0],(LRECL-LRECL-0045d8_LRECL[LRECL+-0],((SMIMO-407821-005f33_SMIMO[SMIMO+-0],PTEPI-PTEPI-004d95_PTEPI[PTEPI+-0])<4>[<2>+-0],(PTEPI-PTEPI-004d96_PTEPI[PTEPI+-0],(LHESP-LHESP-002b2a_LHESP[LHESP+-0],PTEPI-PTEPI-0061a7_PTEPI[PTEPI+-0])<5>[<1>+-0])<6>[<1>+-1])<7>[<2>+-1])<8>[<3>+-0])<9>[<7>+-1])<10>[<7>+-1]
GT-581 to MT-0	4	15	19	((PTEPI-PTEPI-002bc8_PTEPI[PTEPI+-0],LHESP-LHESP-001811_LHESP[LHESP+-0])<1>[<1>+-0],(LRECL-LRECL-0043d3_LRECL[LRECL+-0],((CSCUL-CSCUL-000941_CSCUL[CSCUL+-0],(ISCAP-6945-004c99_ISCAP[ISCAP+-0],(MOCCI-34638-003ce9_MOCCI[MOCCI+-0],TURTI-32264-002612_TURTI[TURTI+-0])<2>[<6>+-0])<3>[<6>+-1])<4>[<7>+-0],SMIMO-407821-003cfb_SMIMO[SMIMO+-0])<5>[<7>+-1])<6>[<7>+-1])<7>[<7>+-1]
GT-582 to MT-0	3	6	9	((TURTI-32264-0035ed_TURTI[TURTI+-0],(CSCUL-CSCUL-002d6e_CSCUL[CSCUL+-0],((ISCAP-6945-00398e_ISCAP[ISCAP+-0],ISCAP-6945-004d4c_ISCAP[ISCAP+-0])<1>[ISCAP+-1],MOCCI-34638-002571_MOCCI[MOCCI+-0])<2>[<5>+-0])<3>[<7>+-0])<4>[<7>+-1],((SMIMO-407821-001c8d_SMIMO[SMIMO+-0],(PTEPI-PTEPI-003642_PTEPI[PTEPI+-0],LHESP-LHESP-00384f_LHESP[LHESP+-0])<5>[<1>+-0])<6>[<2>+-0],LRECL-LRECL-003b2d_LRECL[LRECL+-0])<7>[<3>+-0])<8>[<7>+-1]
GT-583 to MT-0	6	7	13	(CSCUL-CSCUL-003efd_CSCUL[CSCUL+-0],(((ISCAP-6945-004a02_ISCAP[ISCAP+-0],MOCCI-34638-000c8b_MOCCI[MOCCI+-0])<1>[<5>+-0],TURTI-32264-002247_TURTI[TURTI+-0])<2>[<6>+-0],((LRECL-LRECL-002ee8_LRECL[LRECL+-0],(LRECL-LRECL-002ee7_LRECL[LRECL+-0],(SMIMO-407821-002a9e_SMIMO[SMIMO+-0],(LRECL-LRECL-0022e2_LRECL[LRECL+-0],((SMIMO-407821-002a9c_SMIMO[SMIMO+-0],SMIMO-407821-005be2_SMIMO[SMIMO+-0])<3>[SMIMO+-1],(LHESP-LHESP-00085b_LHESP[LHESP+-0],(PTEPI-PTEPI-0025cb_PTEPI[PTEPI+-0],LHESP-LHESP-000859_LHESP[LHESP+-0])<4>[<1>+-0])<5>[<1>+-1])<6>[<2>+-0])<7>[<3>+-0])<8>[<3>+-1])<9>[<3>+-1])<10>[<3>+-1],CSCUL-CSCUL-005034_CSCUL[CSCUL+-0])<11>[<4>+-0])<12>[<7>+-0])<13>[<7>+-1]
GT-584 to MT-0	2	8	10	(((TURTI-32264-0033a7_TURTI[TURTI+-0],(CSCUL-CSCUL-00654d_CSCUL[CSCUL+-0],(PTEPI-PTEPI-00410b_PTEPI[PTEPI+-0],SMIMO-407821-0046fe_SMIMO[SMIMO+-0])<1>[<2>+-0])<2>[<4>+-0])<3>[<7>+-0],ISCAP-6945-0004c9_ISCAP[ISCAP+-0])<4>[<7>+-1],(CSCUL-CSCUL-004cfc_CSCUL[CSCUL+-0],LRECL-LRECL-001d76_LRECL[LRECL+-0])<5>[<4>+-0])<6>[<7>+-1]
GT-585 to MT-0	1	5	6	(SMIMO-407821-000039_SMIMO[SMIMO+-0],(SMIMO-407821-005d96_SMIMO[SMIMO+-0],PTEPI-PTEPI-005cfe_PTEPI[PTEPI+-0])<1>[<2>+-0])<2>[<2>+-1]
GT-586 to MT-0	1	3	4	(TURTI-32264-003e20_TURTI[TURTI+-0],((ISCAP-6945-002d18_ISCAP[ISCAP+-0],MOCCI-34638-001fc5_MOCCI[MOCCI+-0])<1>[<5>+-0],(CSCUL-CSCUL-0027e5_CSCUL[CSCUL+-0],(((LHESP-LHESP-0034c0_LHESP[LHESP+-0],PTEPI-PTEPI-002718_PTEPI[PTEPI+-0])<2>[<1>+-0],SMIMO-407821-005bc5_SMIMO[SMIMO+-0])<3>[<2>+-0],LRECL-LRECL-003c0a_LRECL[LRECL+-0])<4>[<3>+-0])<5>[<4>+-0])<6>[<7>+-0])<7>[<7>+-1]
GT-587 to MT-0	0	5	5	(LHESP-LHESP-000f8e_LHESP[LHESP+-0],(ISCAP-6945-000045_ISCAP[ISCAP+-0],MOCCI-34638-001e0d_MOCCI[MOCCI+-0])<1>[<5>+-0])<2>[<7>+-0]
GT-588 to MT-0	2	13	15	(((LHESP-LHESP-001ff4_LHESP[LHESP+-0],PTEPI-PTEPI-0003ee_PTEPI[PTEPI+-0])<1>[<1>+-0],(TURTI-32264-002249_TURTI[TURTI+-0],MOCCI-34638-003afe_MOCCI[MOCCI+-0])<2>[<6>+-0])<3>[<7>+-0],(((PTEPI-PTEPI-002cca_PTEPI[PTEPI+-0],LRECL-LRECL-0043d0_LRECL[LRECL+-0])<4>[<3>+-0],CSCUL-CSCUL-007657_CSCUL[CSCUL+-0])<5>[<4>+-0],(ISCAP-6945-00300b_ISCAP[ISCAP+-0],LHESP-LHESP-001383_LHESP[LHESP+-0])<6>[<7>+-0])<7>[<7>+-1])<8>[<7>+-1]
GT-589 to MT-0	0	3	3	(SMIMO-407821-002337_SMIMO[SMIMO+-0],(LHESP-LHESP-003e7c_LHESP[LHESP+-0],PTEPI-PTEPI-000edb_PTEPI[PTEPI+-0])<1>[<1>+-0])<2>[<2>+-0]
GT-590 to MT-0	9	20	29	((TURTI-32264-0041a7_TURTI[TURTI+-0],MOCCI-34638-00401e_MOCCI[MOCCI+-0])<1>[<6>+-0],(ISCAP-6945-003f7c_ISCAP[ISCAP+-0],((((PTEPI-PTEPI-0037df_PTEPI[PTEPI+-0],((LRECL-LRECL-000548_LRECL[LRECL+-0],((PTEPI-PTEPI-0037e0_PTEPI[PTEPI+-0],CSCUL-CSCUL-00607f_CSCUL[CSCUL+-0])<2>[<4>+-0],CSCUL-CSCUL-002d34_CSCUL[CSCUL+-0])<3>[<4>+-1])<4>[<4>+-1],SMIMO-407821-0046fd_SMIMO[SMIMO+-0])<5>[<4>+-1])<6>[<4>+-1],LRECL-LRECL-00382c_LRECL[LRECL+-0])<7>[<4>+-1],(CSCUL-CSCUL-00345b_CSCUL[CSCUL+-0],CSCUL-CSCUL-003462_CSCUL[CSCUL+-0])<8>[CSCUL+-1])<9>[<4>+-1],(CSCUL-CSCUL-002d36_CSCUL[CSCUL+-0],(LRECL-LRECL-0002d0_LRECL[LRECL+-0],(SMIMO-407821-001613_SMIMO[SMIMO+-0],(PTEPI-PTEPI-003ccb_PTEPI[PTEPI+-0],LHESP-LHESP-001228_LHESP[LHESP+-0])<10>[<1>+-0])<11>[<2>+-0])<12>[<3>+-0])<13>[<4>+-0])<14>[<4>+-1])<15>[<7>+-0])<16>[<7>+-1]
GT-591 to MT-0	1	4	5	((TURTI-32264-0025a9_TURTI[TURTI+-0],MOCCI-34638-000e36_MOCCI[MOCCI+-0])<1>[<6>+-0],((CSCUL-CSCUL-000475_CSCUL[CSCUL+-0],LRECL-LRECL-001233_LRECL[LRECL+-0])<2>[<4>+-0],((SMIMO-407821-00670f_SMIMO[SMIMO+-0],LHESP-LHESP-0027d5_LHESP[LHESP+-0])<3>[<2>+-0],LRECL-LRECL-001232_LRECL[LRECL+-0])<4>[<3>+-0])<5>[<4>+-1])<6>[<7>+-0]
GT-592 to MT-0	3	10	13	(CSCUL-CSCUL-001ec1_CSCUL[CSCUL+-0],(ISCAP-6945-002c8f_ISCAP[ISCAP+-0],((SMIMO-407821-002656_SMIMO[SMIMO+-0],(PTEPI-PTEPI-000575_PTEPI[PTEPI+-0],LHESP-LHESP-000ae1_LHESP[LHESP+-0])<1>[<1>+-0])<2>[<2>+-0],(TURTI-32264-0025a4_TURTI[TURTI+-0],CSCUL-CSCUL-001ec0_CSCUL[CSCUL+-0])<3>[<7>+-0])<4>[<7>+-1])<5>[<7>+-1])<6>[<7>+-1]
GT-593 to MT-0	1	5	6	(LRECL-LRECL-0044ac_LRECL[LRECL+-0],(LRECL-LRECL-0012c0_LRECL[LRECL+-0],LHESP-LHESP-00141c_LHESP[LHESP+-0])<1>[<3>+-0])<2>[<3>+-1]
GT-594 to MT-0	1	3	4	(TURTI-32264-003b33_TURTI[TURTI+-0],((ISCAP-6945-00010c_ISCAP[ISCAP+-0],MOCCI-34638-001180_MOCCI[MOCCI+-0])<1>[<5>+-0],(CSCUL-CSCUL-000519_CSCUL[CSCUL+-0],((SMIMO-407821-0005dd_SMIMO[SMIMO+-0],(PTEPI-PTEPI-00494b_PTEPI[PTEPI+-0],LHESP-LHESP-0022ba_LHESP[LHESP+-0])<2>[<1>+-0])<3>[<2>+-0],LRECL-LRECL-00495c_LRECL[LRECL+-0])<4>[<3>+-0])<5>[<4>+-0])<6>[<7>+-0])<7>[<7>+-1]
GT-595 to MT-0	2	11	13	(((ISCAP-6945-0040aa_ISCAP[ISCAP+-0],MOCCI-34638-003d69_MOCCI[MOCCI+-0])<1>[<5>+-0],CSCUL-CSCUL-0068e7_CSCUL[CSCUL+-0])<2>[<7>+-0],(SMIMO-407821-004fe1_SMIMO[SMIMO+-0],(TURTI-32264-002ac1_TURTI[TURTI+-0],LHESP-LHESP-002f69_LHESP[LHESP+-0])<3>[<7>+-0])<4>[<7>+-1])<5>[<7>+-1]
GT-596 to MT-0	4	14	18	((PTEPI-PTEPI-002e23_PTEPI[PTEPI+-0],MOCCI-34638-0038eb_MOCCI[MOCCI+-0])<1>[<7>+-0],((CSCUL-CSCUL-004c7f_CSCUL[CSCUL+-0],ISCAP-6945-0030cd_ISCAP[ISCAP+-0])<2>[<7>+-0],((CSCUL-CSCUL-004652_CSCUL[CSCUL+-0],(SMIMO-407821-00104f_SMIMO[SMIMO+-0],(LHESP-LHESP-0004dc_LHESP[LHESP+-0],PTEPI-PTEPI-0049cf_PTEPI[PTEPI+-0])<3>[<1>+-0])<4>[<2>+-0])<5>[<4>+-0],((TURTI-32264-002d1d_TURTI[TURTI+-0],TURTI-32264-001f29_TURTI[TURTI+-0])<6>[TURTI+-1],(SMIMO-407821-004be2_SMIMO[SMIMO+-0],(LHESP-LHESP-001e95_LHESP[LHESP+-0],PTEPI-PTEPI-0007a9_PTEPI[PTEPI+-0])<7>[<1>+-0])<8>[<2>+-0])<9>[<7>+-0])<10>[<7>+-1])<11>[<7>+-1])<12>[<7>+-1]
GT-597 to MT-0	2	10	12	(ISCAP-6945-002dc1_ISCAP[ISCAP+-0],(((LRECL-LRECL-002531_LRECL[LRECL+-0],PTEPI-PTEPI-003e68_PTEPI[PTEPI+-0])<1>[<3>+-0],SMIMO-407821-003231_SMIMO[SMIMO+-0])<2>[<3>+-1],(PTEPI-PTEPI-003e69_PTEPI[PTEPI+-0],CSCUL-CSCUL-002484_CSCUL[CSCUL+-0])<3>[<4>+-0])<4>[<4>+-1])<5>[<7>+-0]
GT-598 to MT-0	1	8	9	((ISCAP-6945-002a2f_ISCAP[ISCAP+-0],(LHESP-LHESP-000c75_LHESP[LHESP+-0],PTEPI-PTEPI-003ebf_PTEPI[PTEPI+-0])<1>[<1>+-0])<2>[<7>+-0],MOCCI-34638-003d75_MOCCI[MOCCI+-0])<3>[<7>+-1]
