# GT/MT combo	# dups	# losses	Total score
GT-2210 to MT-0	1	4	5
GT-2212 to MT-0	2	1	3
GT-2213 to MT-0	0	5	5
GT-2214 to MT-0	4	3	7
GT-2215 to MT-0	2	7	9
GT-2216 to MT-0	5	6	11
GT-2217 to MT-0	4	5	9
GT-2218 to MT-0	0	5	5
GT-2219 to MT-0	5	7	12
GT-2220 to MT-0	0	2	2
GT-2221 to MT-0	0	4	4
GT-2222 to MT-0	3	3	6
GT-2223 to MT-0	0	3	3
GT-2224 to MT-0	1	2	3
GT-2225 to MT-0	2	2	4
GT-2226 to MT-0	5	3	8
GT-2227 to MT-0	4	8	12
GT-2228 to MT-0	1	0	1
GT-2229 to MT-0	0	0	0
GT-2230 to MT-0	2	8	10
GT-2231 to MT-0	0	2	2
GT-2232 to MT-0	1	7	8
GT-2233 to MT-0	7	18	25
GT-2234 to MT-0	0	3	3
GT-2235 to MT-0	8	18	26
GT-2236 to MT-0	0	2	2
GT-2237 to MT-0	2	5	7
GT-2238 to MT-0	1	1	2
GT-2239 to MT-0	2	9	11
GT-2240 to MT-0	1	1	2
GT-2241 to MT-0	2	3	5
GT-2242 to MT-0	2	3	5
GT-2243 to MT-0	3	2	5
GT-2244 to MT-0	5	15	20
GT-2245 to MT-0	4	1	5
GT-2246 to MT-0	1	1	2
GT-2247 to MT-0	0	4	4
GT-2248 to MT-0	9	11	20
GT-2249 to MT-0	2	9	11
GT-2250 to MT-0	0	2	2
GT-2251 to MT-0	6	4	10
GT-2252 to MT-0	4	4	8
GT-2253 to MT-0	2	2	4
GT-2254 to MT-0	2	7	9
GT-2255 to MT-0	1	3	4
GT-2256 to MT-0	3	7	10
GT-2257 to MT-0	2	6	8
GT-2258 to MT-0	3	3	6
GT-2259 to MT-0	4	11	15
GT-2260 to MT-0	4	7	11
GT-2261 to MT-0	0	2	2
GT-2262 to MT-0	1	7	8
GT-2263 to MT-0	0	3	3
GT-2264 to MT-0	2	5	7
GT-2265 to MT-0	4	3	7
GT-2267 to MT-0	2	3	5
GT-2268 to MT-0	1	2	3
GT-2269 to MT-0	1	3	4
GT-2271 to MT-0	0	5	5
GT-2272 to MT-0	1	3	4
GT-2273 to MT-0	1	4	5
GT-2274 to MT-0	4	9	13
GT-2275 to MT-0	1	6	7
GT-2276 to MT-0	1	6	7
GT-2277 to MT-0	1	4	5
GT-2278 to MT-0	1	4	5
GT-2279 to MT-0	3	4	7
GT-2280 to MT-0	0	2	2
GT-2281 to MT-0	1	5	6
GT-2282 to MT-0	2	9	11
GT-2283 to MT-0	7	3	10
GT-2284 to MT-0	1	4	5
GT-2285 to MT-0	13	4	17
GT-2286 to MT-0	3	4	7
GT-2287 to MT-0	2	5	7
GT-2288 to MT-0	7	10	17
GT-2289 to MT-0	1	6	7
GT-2290 to MT-0	1	5	6
GT-2291 to MT-0	1	0	1
GT-2292 to MT-0	1	4	5
GT-2293 to MT-0	5	1	6
GT-2294 to MT-0	0	3	3
GT-2295 to MT-0	4	4	8
GT-2296 to MT-0	4	9	13
GT-2297 to MT-0	4	6	10
GT-2298 to MT-0	1	3	4
GT-2299 to MT-0	2	7	9
GT-2300 to MT-0	5	3	8
GT-2301 to MT-0	4	3	7
GT-2302 to MT-0	1	3	4
GT-2303 to MT-0	1	1	2
GT-2304 to MT-0	3	9	12
GT-2305 to MT-0	1	1	2
GT-2306 to MT-0	1	2	3
GT-2307 to MT-0	1	7	8
GT-2308 to MT-0	1	4	5
GT-2309 to MT-0	0	1	1
GT-2310 to MT-0	1	8	9
GT-2311 to MT-0	1	7	8
GT-2312 to MT-0	6	5	11
GT-2313 to MT-0	1	3	4
GT-2314 to MT-0	1	4	5
GT-2315 to MT-0	2	1	3
GT-2316 to MT-0	6	10	16
GT-2317 to MT-0	3	5	8
GT-2318 to MT-0	2	2	4
GT-2319 to MT-0	1	7	8
GT-2320 to MT-0	1	6	7
GT-2321 to MT-0	4	4	8
GT-2322 to MT-0	1	4	5
GT-2323 to MT-0	7	9	16
GT-2324 to MT-0	1	4	5
GT-2325 to MT-0	5	7	12
GT-2326 to MT-0	0	4	4
GT-2327 to MT-0	0	5	5
GT-2328 to MT-0	1	3	4
GT-2329 to MT-0	1	5	6
GT-2330 to MT-0	9	9	18
GT-2331 to MT-0	6	4	10
GT-2332 to MT-0	4	3	7
GT-2333 to MT-0	0	0	0
GT-2334 to MT-0	1	3	4
GT-2335 to MT-0	1	6	7
GT-2336 to MT-0	1	7	8
GT-2337 to MT-0	4	11	15
GT-2338 to MT-0	2	6	8
GT-2339 to MT-0	4	8	12
GT-2340 to MT-0	8	19	27
GT-2341 to MT-0	5	6	11
GT-2342 to MT-0	2	2	4
GT-2345 to MT-0	4	4	8
GT-2346 to MT-0	1	5	6
GT-2347 to MT-0	4	3	7
GT-2348 to MT-0	3	6	9
GT-2350 to MT-0	1	2	3
GT-2351 to MT-0	2	4	6
GT-2352 to MT-0	3	1	4
GT-2353 to MT-0	0	3	3
GT-2354 to MT-0	2	7	9
GT-2356 to MT-0	3	12	15
GT-2357 to MT-0	0	3	3
GT-2358 to MT-0	9	10	19
GT-2359 to MT-0	1	0	1
GT-2360 to MT-0	1	1	2
GT-2362 to MT-0	3	10	13
GT-2363 to MT-0	2	2	4
GT-2364 to MT-0	7	10	17
GT-2365 to MT-0	3	14	17
GT-2367 to MT-0	2	5	7
GT-2368 to MT-0	1	4	5
GT-2369 to MT-0	2	5	7
GT-2370 to MT-0	2	10	12
GT-2371 to MT-0	1	8	9
GT-2372 to MT-0	1	4	5
GT-2373 to MT-0	5	11	16
GT-2374 to MT-0	0	2	2
GT-2375 to MT-0	3	2	5
GT-2376 to MT-0	1	5	6
GT-2378 to MT-0	3	3	6
GT-2379 to MT-0	2	8	10
GT-2381 to MT-0	1	4	5
GT-2382 to MT-0	4	2	6
GT-2383 to MT-0	2	3	5
GT-2384 to MT-0	2	5	7
GT-2385 to MT-0	3	5	8
GT-2386 to MT-0	4	9	13
GT-2387 to MT-0	1	1	2
GT-2388 to MT-0	10	7	17
GT-2389 to MT-0	3	6	9
GT-2390 to MT-0	1	4	5
GT-2391 to MT-0	3	4	7
GT-2392 to MT-0	1	4	5
GT-2393 to MT-0	2	5	7
GT-2394 to MT-0	3	6	9
GT-2395 to MT-0	1	9	10
GT-2396 to MT-0	1	4	5
GT-2397 to MT-0	9	5	14
GT-2398 to MT-0	1	6	7
GT-2399 to MT-0	5	7	12
GT-2400 to MT-0	1	5	6
GT-2401 to MT-0	1	1	2
GT-2402 to MT-0	2	8	10
GT-2403 to MT-0	1	5	6
GT-2404 to MT-0	2	3	5
GT-2405 to MT-0	2	7	9
GT-2406 to MT-0	3	6	9
GT-2407 to MT-0	1	1	2
GT-2408 to MT-0	5	16	21
GT-2409 to MT-0	2	2	4
GT-2411 to MT-0	0	2	2
GT-2412 to MT-0	2	9	11
GT-2413 to MT-0	3	13	16
GT-2414 to MT-0	2	5	7
GT-2415 to MT-0	4	6	10
GT-2416 to MT-0	2	3	5
GT-2417 to MT-0	7	4	11
GT-2418 to MT-0	1	4	5
GT-2419 to MT-0	3	7	10
GT-2420 to MT-0	1	1	2
GT-2421 to MT-0	1	5	6
GT-2422 to MT-0	0	5	5
GT-2424 to MT-0	14	17	31
GT-2425 to MT-0	0	5	5
GT-2426 to MT-0	7	12	19
GT-2427 to MT-0	4	3	7
GT-2428 to MT-0	0	0	0
GT-2429 to MT-0	4	4	8
GT-2430 to MT-0	3	10	13
GT-2431 to MT-0	0	5	5
GT-2432 to MT-0	4	2	6
GT-2433 to MT-0	2	3	5
GT-2434 to MT-0	8	8	16
GT-2435 to MT-0	4	10	14
GT-2436 to MT-0	1	1	2
GT-2437 to MT-0	2	5	7
GT-2438 to MT-0	1	3	4
GT-2439 to MT-0	1	7	8
GT-2440 to MT-0	3	11	14
GT-2441 to MT-0	1	3	4
GT-2442 to MT-0	2	4	6
GT-2443 to MT-0	1	4	5
GT-2444 to MT-0	9	3	12
GT-2445 to MT-0	3	3	6
GT-2446 to MT-0	8	5	13
GT-2447 to MT-0	12	1	13
GT-2448 to MT-0	6	0	6
GT-2449 to MT-0	5	13	18
GT-2451 to MT-0	6	8	14
GT-2452 to MT-0	0	0	0
GT-2453 to MT-0	8	5	13
GT-2454 to MT-0	2	1	3
GT-2455 to MT-0	1	4	5
GT-2456 to MT-0	5	3	8
GT-2457 to MT-0	0	2	2
GT-2458 to MT-0	1	1	2
GT-2459 to MT-0	12	4	16
GT-2461 to MT-0	2	0	2
GT-2462 to MT-0	3	10	13
GT-2463 to MT-0	6	10	16
GT-2464 to MT-0	4	11	15
GT-2465 to MT-0	3	9	12
GT-2466 to MT-0	0	3	3
GT-2467 to MT-0	1	4	5
GT-2468 to MT-0	0	0	0
GT-2469 to MT-0	2	1	3
GT-2470 to MT-0	0	3	3
GT-2472 to MT-0	3	9	12
GT-2473 to MT-0	0	4	4
GT-2474 to MT-0	5	6	11
GT-2475 to MT-0	2	6	8
GT-2476 to MT-0	0	3	3
GT-2478 to MT-0	1	5	6
GT-2480 to MT-0	4	4	8
GT-2481 to MT-0	8	9	17
GT-2482 to MT-0	3	12	15
GT-2483 to MT-0	3	4	7
GT-2484 to MT-0	2	4	6
GT-2485 to MT-0	2	4	6
GT-2486 to MT-0	1	4	5
GT-2487 to MT-0	2	0	2
GT-2488 to MT-0	0	2	2
GT-2489 to MT-0	1	7	8
GT-2491 to MT-0	1	7	8
GT-2492 to MT-0	1	5	6
GT-2493 to MT-0	1	4	5
GT-2494 to MT-0	0	4	4
GT-2495 to MT-0	0	5	5
GT-2496 to MT-0	3	4	7
GT-2497 to MT-0	9	21	30
GT-2498 to MT-0	2	2	4
GT-2499 to MT-0	4	7	11
GT-2500 to MT-0	2	9	11
GT-2502 to MT-0	0	3	3
GT-2503 to MT-0	0	0	0
GT-2504 to MT-0	2	6	8
GT-2505 to MT-0	2	2	4
GT-2506 to MT-0	4	4	8
GT-2507 to MT-0	2	1	3
GT-2508 to MT-0	0	4	4
GT-2509 to MT-0	0	2	2
GT-2510 to MT-0	2	6	8
GT-2511 to MT-0	7	6	13
GT-2512 to MT-0	2	3	5
GT-2513 to MT-0	1	1	2
GT-2514 to MT-0	0	4	4
GT-2515 to MT-0	5	5	10
GT-2516 to MT-0	3	8	11
GT-2517 to MT-0	1	6	7
GT-2518 to MT-0	2	6	8
GT-2519 to MT-0	1	4	5
GT-2520 to MT-0	1	5	6
GT-2521 to MT-0	2	3	5
GT-2522 to MT-0	3	10	13
GT-2523 to MT-0	1	7	8
GT-2524 to MT-0	0	3	3
GT-2525 to MT-0	2	6	8
GT-2526 to MT-0	2	3	5
GT-2527 to MT-0	2	4	6
GT-2529 to MT-0	2	6	8
GT-2530 to MT-0	0	1	1
GT-2531 to MT-0	1	4	5
GT-2532 to MT-0	2	4	6
GT-2533 to MT-0	4	6	10
GT-2534 to MT-0	1	2	3
GT-2535 to MT-0	1	4	5
GT-2536 to MT-0	4	8	12
GT-2537 to MT-0	2	2	4
GT-2538 to MT-0	6	0	6
GT-2540 to MT-0	1	5	6
GT-2541 to MT-0	3	12	15
GT-2542 to MT-0	1	2	3
GT-2543 to MT-0	2	9	11
GT-2544 to MT-0	1	2	3
GT-2545 to MT-0	11	7	18
GT-2546 to MT-0	10	7	17
GT-2547 to MT-0	2	0	2
GT-2548 to MT-0	6	4	10
GT-2549 to MT-0	0	2	2
GT-2550 to MT-0	5	3	8
GT-2551 to MT-0	2	5	7
GT-2554 to MT-0	1	1	2
GT-2555 to MT-0	2	5	7
GT-2556 to MT-0	1	2	3
GT-2557 to MT-0	4	7	11
GT-2559 to MT-0	1	7	8
GT-2560 to MT-0	0	1	1
GT-2561 to MT-0	2	8	10
GT-2562 to MT-0	4	9	13
GT-2563 to MT-0	5	8	13
GT-2564 to MT-0	6	2	8
GT-2565 to MT-0	9	10	19
GT-2566 to MT-0	0	4	4
GT-2567 to MT-0	0	3	3
GT-2568 to MT-0	1	0	1
GT-2569 to MT-0	1	7	8
GT-2570 to MT-0	3	6	9
GT-2571 to MT-0	1	2	3
GT-2572 to MT-0	3	10	13
GT-2573 to MT-0	2	1	3
GT-2574 to MT-0	2	5	7
GT-2575 to MT-0	5	1	6
GT-2577 to MT-0	1	5	6
GT-2578 to MT-0	5	15	20
GT-2579 to MT-0	3	6	9
GT-2581 to MT-0	1	3	4
GT-2582 to MT-0	0	3	3
GT-2583 to MT-0	4	11	15
GT-2584 to MT-0	0	3	3
GT-2585 to MT-0	0	2	2
GT-2586 to MT-0	0	2	2
GT-2587 to MT-0	1	3	4
GT-2588 to MT-0	2	1	3
GT-2589 to MT-0	2	6	8
GT-2590 to MT-0	5	6	11
GT-2591 to MT-0	1	6	7
GT-2592 to MT-0	1	6	7
GT-2593 to MT-0	3	11	14
GT-2594 to MT-0	1	2	3
GT-2595 to MT-0	2	4	6
GT-2596 to MT-0	9	15	24
GT-2597 to MT-0	2	3	5
GT-2598 to MT-0	6	0	6
GT-2599 to MT-0	1	5	6
GT-2600 to MT-0	9	10	19
GT-2601 to MT-0	1	6	7
GT-2602 to MT-0	0	2	2
GT-2603 to MT-0	3	2	5
GT-2604 to MT-0	0	1	1
GT-2605 to MT-0	6	0	6
GT-2606 to MT-0	0	3	3
GT-2607 to MT-0	2	7	9
GT-2608 to MT-0	0	3	3
GT-2609 to MT-0	0	4	4
GT-2611 to MT-0	3	5	8
GT-2612 to MT-0	1	4	5
GT-2613 to MT-0	1	6	7
GT-2614 to MT-0	8	10	18
GT-2615 to MT-0	2	3	5
GT-2616 to MT-0	2	0	2
GT-2617 to MT-0	1	2	3
GT-2618 to MT-0	1	1	2
GT-2619 to MT-0	1	5	6
GT-2620 to MT-0	2	12	14
GT-2621 to MT-0	4	8	12
GT-2622 to MT-0	5	7	12
GT-2623 to MT-0	4	9	13
GT-2624 to MT-0	1	2	3
GT-2625 to MT-0	2	7	9
GT-2626 to MT-0	0	3	3
GT-2627 to MT-0	4	5	9
GT-2628 to MT-0	5	7	12
GT-2629 to MT-0	2	7	9
GT-2630 to MT-0	1	3	4
GT-2631 to MT-0	2	1	3
GT-2632 to MT-0	0	2	2
GT-2633 to MT-0	6	5	11
GT-2634 to MT-0	1	5	6
GT-2635 to MT-0	1	6	7
GT-2636 to MT-0	4	5	9
GT-2637 to MT-0	5	12	17
GT-2638 to MT-0	3	9	12
GT-2639 to MT-0	2	1	3
GT-2640 to MT-0	2	5	7
GT-2641 to MT-0	4	6	10
GT-2642 to MT-0	3	8	11
GT-2643 to MT-0	5	12	17
GT-2644 to MT-0	4	3	7
GT-2645 to MT-0	3	1	4
GT-2646 to MT-0	2	4	6
GT-2647 to MT-0	5	6	11
GT-2648 to MT-0	1	5	6
GT-2649 to MT-0	5	5	10
GT-2650 to MT-0	5	3	8
GT-2651 to MT-0	1	2	3
GT-2652 to MT-0	1	8	9
GT-2653 to MT-0	0	3	3
GT-2654 to MT-0	2	8	10
GT-2655 to MT-0	4	8	12
GT-2656 to MT-0	1	1	2
GT-2657 to MT-0	3	3	6
GT-2658 to MT-0	0	2	2
GT-2659 to MT-0	4	9	13
GT-2660 to MT-0	3	8	11
GT-2661 to MT-0	3	3	6
GT-2662 to MT-0	2	4	6
GT-2663 to MT-0	3	2	5
GT-2664 to MT-0	3	9	12
GT-2665 to MT-0	3	4	7
GT-2666 to MT-0	3	3	6
GT-2667 to MT-0	1	4	5
GT-2668 to MT-0	0	5	5
GT-2669 to MT-0	5	13	18
GT-2670 to MT-0	1	5	6
GT-2671 to MT-0	3	3	6
GT-2672 to MT-0	2	1	3
GT-2673 to MT-0	2	10	12
GT-2674 to MT-0	6	10	16
GT-2675 to MT-0	0	2	2
GT-2676 to MT-0	0	4	4
GT-2677 to MT-0	1	7	8
GT-2678 to MT-0	2	3	5
GT-2679 to MT-0	3	10	13
GT-2680 to MT-0	1	7	8
GT-2681 to MT-0	1	2	3
GT-2682 to MT-0	2	4	6
GT-2683 to MT-0	6	11	17
GT-2684 to MT-0	6	6	12
GT-2685 to MT-0	2	7	9
GT-2686 to MT-0	2	2	4
GT-2687 to MT-0	4	5	9
GT-2688 to MT-0	10	17	27
GT-2689 to MT-0	4	2	6
GT-2690 to MT-0	2	3	5
GT-2691 to MT-0	1	4	5
GT-2692 to MT-0	2	1	3
GT-2694 to MT-0	1	4	5
GT-2695 to MT-0	7	15	22
GT-2696 to MT-0	4	10	14
GT-2697 to MT-0	1	4	5
GT-2698 to MT-0	2	10	12
GT-2699 to MT-0	5	9	14
GT-2700 to MT-0	3	11	14
GT-2701 to MT-0	2	6	8
GT-2702 to MT-0	0	2	2
GT-2703 to MT-0	1	1	2
GT-2704 to MT-0	1	3	4
GT-2705 to MT-0	7	1	8
GT-2706 to MT-0	4	11	15
GT-2707 to MT-0	3	6	9
GT-2708 to MT-0	4	12	16
GT-2709 to MT-0	2	3	5
GT-2710 to MT-0	0	4	4
GT-2711 to MT-0	2	6	8
GT-2712 to MT-0	2	4	6
GT-2713 to MT-0	0	2	2
GT-2714 to MT-0	2	5	7
GT-2715 to MT-0	11	1	12
GT-2716 to MT-0	1	7	8
GT-2717 to MT-0	2	1	3
GT-2718 to MT-0	2	7	9
GT-2719 to MT-0	2	3	5
GT-2720 to MT-0	0	4	4
GT-2721 to MT-0	8	20	28
GT-2722 to MT-0	0	2	2
GT-2723 to MT-0	6	4	10
GT-2724 to MT-0	7	7	14
GT-2725 to MT-0	1	7	8
GT-2726 to MT-0	0	1	1
GT-2727 to MT-0	2	5	7
GT-2728 to MT-0	1	1	2
GT-2729 to MT-0	2	5	7
GT-2730 to MT-0	1	4	5
GT-2731 to MT-0	8	13	21
GT-2732 to MT-0	0	2	2
GT-2733 to MT-0	1	7	8
GT-2734 to MT-0	2	2	4
GT-2735 to MT-0	7	7	14
GT-2736 to MT-0	2	5	7
GT-2737 to MT-0	2	2	4
GT-2738 to MT-0	3	5	8
GT-2739 to MT-0	0	1	1
GT-2740 to MT-0	2	2	4
GT-2741 to MT-0	2	1	3
GT-2742 to MT-0	0	1	1
GT-2743 to MT-0	0	3	3
GT-2744 to MT-0	3	8	11
GT-2745 to MT-0	6	9	15
GT-2746 to MT-0	0	1	1
GT-2747 to MT-0	1	5	6
GT-2748 to MT-0	3	5	8
GT-2749 to MT-0	3	5	8
GT-2750 to MT-0	2	10	12
GT-2751 to MT-0	4	4	8
GT-2753 to MT-0	12	7	19
GT-2754 to MT-0	3	4	7
GT-2755 to MT-0	4	3	7
GT-2756 to MT-0	2	6	8
GT-2757 to MT-0	5	3	8
GT-2758 to MT-0	2	1	3
GT-2759 to MT-0	2	2	4
GT-2760 to MT-0	2	7	9
GT-2761 to MT-0	6	1	7
GT-2762 to MT-0	2	6	8
GT-2763 to MT-0	1	1	2
GT-2764 to MT-0	0	5	5
GT-2765 to MT-0	1	0	1
GT-2766 to MT-0	2	4	6
GT-2767 to MT-0	1	0	1
GT-2768 to MT-0	1	0	1
GT-2769 to MT-0	0	3	3
GT-2770 to MT-0	1	3	4
GT-2771 to MT-0	1	5	6
GT-2772 to MT-0	1	4	5
GT-2773 to MT-0	1	4	5
GT-2774 to MT-0	3	5	8
GT-2775 to MT-0	1	1	2
GT-2776 to MT-0	0	2	2
GT-2777 to MT-0	1	4	5
GT-2778 to MT-0	1	4	5
GT-2779 to MT-0	0	0	0
GT-2780 to MT-0	2	9	11
GT-2781 to MT-0	1	7	8
GT-2782 to MT-0	4	7	11
GT-2783 to MT-0	1	7	8
GT-2784 to MT-0	11	6	17
GT-2786 to MT-0	7	17	24
GT-2787 to MT-0	10	20	30
GT-2788 to MT-0	2	2	4
GT-2789 to MT-0	3	5	8
GT-2790 to MT-0	1	3	4
GT-2791 to MT-0	1	6	7
GT-2792 to MT-0	4	6	10
GT-2793 to MT-0	1	5	6
GT-2794 to MT-0	2	4	6
GT-2795 to MT-0	2	0	2
GT-2796 to MT-0	0	1	1
GT-2797 to MT-0	2	2	4
GT-2798 to MT-0	8	12	20
GT-2799 to MT-0	1	5	6
GT-2800 to MT-0	2	2	4
GT-2801 to MT-0	1	5	6
GT-2802 to MT-0	0	2	2
GT-2803 to MT-0	7	9	16
GT-2804 to MT-0	3	5	8
GT-2805 to MT-0	6	6	12
GT-2806 to MT-0	1	6	7
GT-2807 to MT-0	5	8	13
GT-2808 to MT-0	3	5	8
GT-2809 to MT-0	2	8	10
GT-2810 to MT-0	1	3	4
GT-2812 to MT-0	3	9	12
GT-2814 to MT-0	7	8	15
GT-2815 to MT-0	0	4	4
GT-2816 to MT-0	2	9	11
GT-2818 to MT-0	1	3	4
GT-2819 to MT-0	5	2	7
GT-2820 to MT-0	6	10	16
GT-2821 to MT-0	1	3	4
GT-2822 to MT-0	2	1	3
GT-2823 to MT-0	1	4	5
GT-2824 to MT-0	2	5	7
GT-2825 to MT-0	2	6	8
GT-2826 to MT-0	1	5	6
GT-2827 to MT-0	2	9	11
GT-2828 to MT-0	0	3	3
GT-2829 to MT-0	2	5	7
GT-2830 to MT-0	2	6	8
GT-2831 to MT-0	4	13	17
GT-2832 to MT-0	2	5	7
GT-2833 to MT-0	2	6	8
GT-2834 to MT-0	1	1	2
GT-2835 to MT-0	3	6	9
GT-2836 to MT-0	1	3	4
GT-2837 to MT-0	1	10	11
GT-2838 to MT-0	5	13	18
GT-2839 to MT-0	0	4	4
GT-2840 to MT-0	9	9	18
GT-2841 to MT-0	0	3	3
GT-2842 to MT-0	10	3	13
GT-2843 to MT-0	2	3	5
GT-2844 to MT-0	2	8	10
GT-2845 to MT-0	3	6	9
GT-2846 to MT-0	1	1	2
GT-2847 to MT-0	8	14	22
GT-2848 to MT-0	5	15	20
GT-2849 to MT-0	6	16	22
GT-2850 to MT-0	5	7	12
GT-2851 to MT-0	2	9	11
GT-2852 to MT-0	0	1	1
GT-2853 to MT-0	1	5	6
GT-2854 to MT-0	1	5	6
GT-2855 to MT-0	0	1	1
GT-2856 to MT-0	0	4	4
GT-2857 to MT-0	1	1	2
GT-2858 to MT-0	0	2	2
GT-2859 to MT-0	4	9	13
GT-2860 to MT-0	2	7	9
GT-2861 to MT-0	1	2	3
GT-2862 to MT-0	3	8	11
GT-2863 to MT-0	1	6	7
GT-2864 to MT-0	4	5	9
GT-2865 to MT-0	4	9	13
GT-2866 to MT-0	7	1	8
GT-2867 to MT-0	1	3	4
GT-2868 to MT-0	2	4	6
GT-2869 to MT-0	3	1	4
GT-2871 to MT-0	3	1	4
GT-2872 to MT-0	0	0	0
GT-2873 to MT-0	1	6	7
GT-2874 to MT-0	0	5	5
GT-2875 to MT-0	17	21	38
GT-2876 to MT-0	7	6	13
GT-2877 to MT-0	2	2	4
GT-2878 to MT-0	4	2	6
GT-2879 to MT-0	9	12	21
GT-2881 to MT-0	1	6	7
GT-2882 to MT-0	1	6	7
GT-2883 to MT-0	5	1	6
GT-2884 to MT-0	2	1	3
GT-2886 to MT-0	0	1	1
GT-2889 to MT-0	3	7	10
GT-2890 to MT-0	3	4	7
GT-2891 to MT-0	0	3	3
GT-2892 to MT-0	2	2	4
GT-2893 to MT-0	1	3	4
GT-2894 to MT-0	0	2	2
GT-2895 to MT-0	1	8	9
GT-2897 to MT-0	2	1	3
GT-2898 to MT-0	4	10	14
GT-2900 to MT-0	5	6	11
GT-2901 to MT-0	2	3	5
GT-2902 to MT-0	5	4	9
GT-2903 to MT-0	4	1	5
GT-2905 to MT-0	0	0	0
GT-2906 to MT-0	0	1	1
GT-2907 to MT-0	2	5	7
GT-2908 to MT-0	3	5	8
GT-2909 to MT-0	3	5	8
GT-2910 to MT-0	1	3	4
GT-2911 to MT-0	1	6	7
GT-2912 to MT-0	5	13	18
GT-2913 to MT-0	4	4	8
GT-2914 to MT-0	2	0	2
GT-2915 to MT-0	9	5	14
GT-2916 to MT-0	1	5	6
GT-2917 to MT-0	1	6	7
GT-2918 to MT-0	3	6	9
GT-2919 to MT-0	2	4	6
GT-2920 to MT-0	2	7	9
GT-2921 to MT-0	2	3	5
GT-2922 to MT-0	3	3	6
GT-2923 to MT-0	1	3	4
GT-2924 to MT-0	8	1	9
GT-2925 to MT-0	0	2	2
GT-2926 to MT-0	12	11	23
GT-2927 to MT-0	1	5	6
GT-2928 to MT-0	2	7	9
GT-2929 to MT-0	6	7	13
GT-2930 to MT-0	1	5	6
GT-2931 to MT-0	4	6	10
GT-2932 to MT-0	6	11	17
GT-2933 to MT-0	3	8	11
GT-2934 to MT-0	3	6	9
GT-2935 to MT-0	0	5	5
GT-2936 to MT-0	1	4	5
GT-2937 to MT-0	1	5	6
GT-2938 to MT-0	2	4	6
GT-2939 to MT-0	4	5	9
GT-2940 to MT-0	0	2	2
GT-2941 to MT-0	0	3	3
GT-2942 to MT-0	1	4	5
GT-2943 to MT-0	3	4	7
GT-2944 to MT-0	0	3	3
GT-2945 to MT-0	2	6	8
GT-2946 to MT-0	1	5	6
GT-2947 to MT-0	1	6	7
GT-2948 to MT-0	4	11	15
GT-2949 to MT-0	1	3	4
GT-2950 to MT-0	3	5	8
GT-2951 to MT-0	3	7	10
GT-2952 to MT-0	7	12	19
GT-2953 to MT-0	1	5	6
GT-2954 to MT-0	0	1	1
GT-2955 to MT-0	3	12	15
GT-2958 to MT-0	0	2	2
GT-2959 to MT-0	2	7	9
GT-2960 to MT-0	0	3	3
GT-2961 to MT-0	4	5	9
GT-2962 to MT-0	4	8	12
GT-2963 to MT-0	10	5	15
GT-2964 to MT-0	1	4	5
GT-2965 to MT-0	1	4	5
GT-2966 to MT-0	10	21	31
GT-2967 to MT-0	4	1	5
GT-2968 to MT-0	2	9	11
GT-2969 to MT-0	8	16	24
GT-2970 to MT-0	0	2	2
GT-2971 to MT-0	2	7	9
GT-2972 to MT-0	0	2	2
GT-2973 to MT-0	3	4	7
GT-2974 to MT-0	1	1	2
GT-2975 to MT-0	3	4	7
GT-2976 to MT-0	3	3	6
GT-2977 to MT-0	3	3	6
GT-2978 to MT-0	2	6	8
GT-2979 to MT-0	3	4	7
GT-2980 to MT-0	2	6	8
GT-2981 to MT-0	2	8	10
GT-2982 to MT-0	1	3	4
GT-2983 to MT-0	1	3	4
GT-2984 to MT-0	1	5	6
GT-2985 to MT-0	2	4	6
GT-2986 to MT-0	2	5	7
GT-2987 to MT-0	1	6	7
GT-2988 to MT-0	12	6	18
GT-2989 to MT-0	1	2	3
GT-2990 to MT-0	0	3	3
GT-2991 to MT-0	2	10	12
GT-2992 to MT-0	1	5	6
GT-2993 to MT-0	1	6	7
GT-2994 to MT-0	0	4	4
GT-2995 to MT-0	1	1	2
GT-2996 to MT-0	0	3	3
GT-2997 to MT-0	1	5	6
GT-2998 to MT-0	5	9	14
GT-2999 to MT-0	0	2	2
GT-3000 to MT-0	1	2	3
GT-3001 to MT-0	0	3	3
GT-3002 to MT-0	2	7	9
GT-3003 to MT-0	3	4	7
GT-3004 to MT-0	1	4	5
GT-3005 to MT-0	7	6	13
GT-3006 to MT-0	5	3	8
GT-3007 to MT-0	1	5	6
GT-3008 to MT-0	3	6	9
GT-3009 to MT-0	6	4	10
GT-3010 to MT-0	1	3	4
GT-3011 to MT-0	1	4	5
GT-3012 to MT-0	1	3	4
GT-3013 to MT-0	0	3	3
GT-3015 to MT-0	2	2	4
GT-3016 to MT-0	1	1	2
GT-3017 to MT-0	1	5	6
GT-3018 to MT-0	2	8	10
GT-3020 to MT-0	6	2	8
GT-3021 to MT-0	2	4	6
GT-3022 to MT-0	4	7	11
GT-3023 to MT-0	2	4	6
GT-3024 to MT-0	2	4	6
GT-3025 to MT-0	6	13	19
GT-3026 to MT-0	2	6	8
GT-3027 to MT-0	3	11	14
GT-3028 to MT-0	3	9	12
GT-3029 to MT-0	2	5	7
GT-3030 to MT-0	1	8	9
GT-3031 to MT-0	6	7	13
